Year,No.,Round,Pick,Player,Name,Team,College
2024,26,6,8,184,Malik Washington,Dolphins,Virginia
2024,27,6,9,185,Johnny Wilson,Eagles,Florida State
2024,28,6,11,187,Casey Washington,Falcons,Illinois
2024,29,6,15,191,Tejhaun Palmer,Cardinals,Alabama-Birmingham
2024,30,6,37,213,Jordan Whittington,Rams,Texas
2024,31,6,40,216,Ryan Flournoy,Cowboys,Southeast Missouri State
2024,32,7,5,225,Brenden Rice,Chargers,USC
2024,33,7,15,235,Devaughn Vele,Broncos,Utah
2024,34,7,21,241,Tahj Washington,Dolphins,USC
2024,35,7,33,253,Cornelius Johnson,Chargers,Michigan
2023,1,1,20,20,Jaxon Smith-Njigba,Seahawks,Ohio State
2023,2,1,21,21,Quentin Johnston,Chargers,Texas Christian
2023,3,1,22,22,Zay Flowers,Ravens,Boston College
2023,4,1,23,23,Jordan Addison,Vikings,USC
2023,5,2,8,39,Jonathan Mingo,Panthers,Mississippi
2023,6,2,19,50,Jayden Reed,Packers,Michigan State
2023,7,2,24,55,Rashee Rice,Chiefs,Southern Methodist
2023,8,2,32,63,Marvin Mims,Broncos,Oklahoma
2023,9,3,6,69,Nathaniel Dell,Texans,Houston
2023,10,3,10,73,Jalin Hyatt,Giants,Tennessee
2023,11,3,11,74,Cedric Tillman,Browns,Tennessee
2023,12,3,16,79,Josh Downs,Colts,North Carolina
2023,13,3,31,94,Michael Wilson,Cardinals,Stanford
2023,14,3,37,100,Tre Tucker,Raiders,Cincinnati
2023,15,4,23,125,Derius Davis,Chargers,Texas Christian
2023,16,4,29,131,Charlie Jones,Bengals,Purdue
2023,17,4,31,133,Tyler Scott,Bears,Cincinnati
2023,18,5,15,150,Justin Shorter,Bills,Florida
2023,19,5,24,159,Dontayvion Wicks,Packers,Virginia
2023,20,5,42,177,Puka Nacua,Rams,Brigham Young
2023,21,6,8,185,Parker Washington,Jaguars,Penn State
2023,22,6,10,187,Kayshon Boutte,Patriots,Louisiana State
2023,23,6,14,191,Trey Palmer,Buccaneers,Nebraska
2023,24,6,18,195,A.T. Perry,Saints,Wake Forest
2023,25,6,28,205,Xavier Hutchinson,Texans,Iowa State
2023,26,6,29,206,Andrei Iosivas,Bengals,Princeton
2023,27,6,33,210,Demario Douglas,Patriots,Liberty
2023,28,7,2,219,Antoine Green,Lions,North Carolina
2023,29,7,11,228,Cotton Dowell,Titans,Tennessee-Martin
2023,30,7,27,244,Jalen Brooks,Cowboys,South Carolina
2023,31,7,36,253,Ronnie Bell,49ers,Michigan
2023,32,7,39,256,Grant DuBose,Packers,Charlotte
2022,1,1,8,8,Drake London,Falcons,USC
2022,2,1,10,10,Garrett Wilson,Jets,Ohio State
2022,3,1,11,11,Chris Olave,Saints,Ohio State
2022,4,1,12,12,Jameson Williams,Lions,Alabama
2022,5,1,16,16,Jahan Dotson,Commanders,Penn State
2022,6,1,18,18,Treylon Burks,Titans,Arkansas
2022,7,2,2,34,Christian Watson,Packers,North Dakota State
2022,8,2,11,43,Wan'Dale Robinson,Giants,Kentucky
2022,9,2,12,44,John Metchie,Texans,Alabama
2022,10,2,18,50,Tyquan Thornton,Patriots,Baylor
2022,11,2,20,52,George Pickens,Steelers,Georgia
2022,12,2,21,53,Alec Pierce,Colts,Cincinnati
2022,13,2,22,54,Skyy Moore,Chiefs,Western Michigan
2022,14,3,7,71,Velus Jones,Bears,Tennessee
2022,15,3,24,88,Jalen Tolbert,Cowboys,South Alabama
2022,16,3,35,99,David Bell,Browns,Purdue
2022,17,3,41,105,Danny Gray,49ers,Southern Methodist
2022,18,4,20,125,Erik Ezukanma,Dolphins,Texas Tech
2022,19,4,27,132,Romeo Doubs,Packers,Nevada
2022,20,4,33,138,Calvin Austin,Steelers,Memphis
2022,21,5,5,148,Khalil Shakir,Bills,Boise State
2022,22,5,19,162,Montrell Washington,Broncos,Samford
2022,23,5,20,163,Kyle Philips,Titans,UCLA
2022,24,6,12,191,Jalen Nailor,Vikings,Michigan State
2022,25,6,23,202,Michael Woods,Browns,Oklahoma
2022,26,7,8,229,Bo Melton,Seahawks,Rutgers
2022,27,7,12,233,Dareke Young,Seahawks,Lenoir-Rhyne
2022,28,7,37,258,Samori Toure,Packers,Nebraska
2021,1,1,5,5,Ja'Marr Chase,Bengals,Louisiana State
2021,2,1,6,6,Jaylen Waddle,Dolphins,Alabama
2021,3,1,10,10,DeVonta Smith,Eagles,Alabama
2021,4,1,20,20,Kadarius Toney,Giants,Florida
2021,5,1,27,27,Rashod Bateman,Ravens,Minnesota
2021,6,2,2,34,Elijah Moore,Jets,Mississippi
2021,7,2,17,49,Rondale Moore,Cardinals,Purdue
2021,8,2,24,56,D'Wayne Eskridge,Seahawks,Western Michigan
2021,9,2,25,57,Tutu Atwell,Rams,Louisville
2021,10,2,27,59,Terrace Marshall,Panthers,Louisiana State
2021,11,3,13,77,Josh Palmer,Chargers,Tennessee
2021,12,3,18,82,Dyami Brown,Team,North Carolina
2021,13,3,21,85,Amari Rodgers,Packers,Clemson
2021,14,3,25,89,Nico Collins,Texans,Michigan
2021,15,3,27,91,Anthony Schwartz,Browns,Auburn
2021,16,4,4,109,Dez Fitzpatrick,Titans,Louisville
2021,17,4,7,112,Amon-Ra St. Brown,Lions,USC
2021,18,4,24,129,Jaelon Darden,Buccaneers,North Texas
2021,19,4,26,131,Tylan Wallace,Ravens,Oklahoma State
2021,20,5,13,157,Ihmir Smith-Marsette,Vikings,Iowa
2021,21,5,35,179,Simi Fehoko,Cowboys,Stanford
2021,22,5,37,181,Cornell Powell,Chiefs,Clemson
2021,23,6,3,187,Frank Darby,Falcons,Arizona State
2021,24,6,19,203,Marquez Stevenson,Bills,Houston
2021,25,6,20,204,Shi Smith,Panthers,South Carolina
2021,26,6,21,205,Racey McMath,Titans,Louisiana State
2021,27,6,25,209,Jalen Camp,Jaguars,Georgia Tech
2021,28,6,35,219,Seth Williams,Broncos,Auburn
2021,29,6,37,221,Dazz Newsome,Bears,North Carolina
2021,30,7,1,229,Mike Strachan,Colts,Charleston
2021,31,7,15,242,Tre Nixon,Patriots,Central Florida
2021,32,7,22,249,Ben Skowronek,Rams,Notre Dame
2021,33,7,28,255,Kawaan Baker,Saints,South Alabama
2021,34,7,31,258,Dax Milne,Team,Brigham Young
2020,1,1,12,12,Henry Ruggs,Raiders,Alabama
2020,2,1,15,15,Jerry Jeudy,Broncos,Alabama
2020,3,1,17,17,CeeDee Lamb,Cowboys,Oklahoma
2020,4,1,21,21,Jalen Reagor,Eagles,Texas Christian
2020,5,1,22,22,Justin Jefferson,Vikings,Louisiana State
2020,6,1,25,25,Brandon Aiyuk,49ers,Arizona State
2020,7,2,1,33,Tee Higgins,Bengals,Clemson
2020,8,2,2,34,Michael Pittman,Colts,USC
2020,9,2,10,42,Laviska Shenault,Jaguars,Colorado
2020,10,2,14,46,KJ Hamler,Broncos,Penn State
2020,11,2,17,49,Chase Claypool,Steelers,Notre Dame
2020,12,2,25,57,Van Jefferson,Rams,Florida
2020,13,2,27,59,Denzel Mims,Jets,Baylor
2020,14,3,2,66,Antonio Gibson,Redskins,Memphis
2020,15,3,16,80,Lynn Bowden,Raiders,Kentucky
2020,16,3,17,81,Bryan Edwards,Raiders,South Carolina
2020,17,3,28,92,Devin Duvernay,Ravens,Texas
2020,18,4,22,128,Gabriel Davis,Bills,Central Florida
2020,19,4,36,142,Antonio Gandy-Golden,Redskins,Liberty
2020,20,5,5,151,Joe Reed,Chargers,Virginia
2020,21,5,15,161,Tyler Johnson,Buccaneers,Minnesota
2020,22,5,19,165,Collin Johnson,Jaguars,Texas
2020,23,5,20,166,Quintez Cephus,Lions,Wisconsin
2020,24,5,22,168,John Hightower,Eagles,Boise State
2020,25,5,25,171,Isaiah Coulter,Texans,Rhode Island
2020,26,5,27,173,Darnell Mooney,Bears,Tulane
2020,27,5,30,176,K.J. Osborn,Vikings,Miami (FL)
2020,28,6,8,187,Donovan Peoples-Jones,Browns,Michigan
2020,29,6,21,200,Quez Watkins,Eagles,Southern Mississippi
2020,30,6,22,201,James Proche,Ravens,Southern Methodist
2020,31,6,28,207,Isaiah Hodgins,Bills,Oregon State
2020,32,6,33,212,Dezmon Patmon,Colts,Washington State
2020,33,6,35,214,Freddie Swain,Seahawks,Florida
2020,34,7,3,217,Jauan Jennings,49ers,Tennessee
2020,35,7,6,220,K.J. Hill,Chargers,Ohio State
2020,36,7,32,246,Malcolm Perry,Dolphins,Navy
2020,37,7,38,252,Tyrie Cleveland,Broncos,Florida
2019,1,1,25,25,Marquise Brown,Ravens,Oklahoma
2019,2,1,32,32,N'Keal Harry,Patriots,Arizona State
2019,3,2,4,36,Deebo Samuel,49ers,South Carolina
2019,4,2,19,51,A.J. Brown,Titans,Mississippi
2019,5,2,24,56,Mecole Hardman,Chiefs,Georgia
2019,6,2,25,57,JJ Arcega-Whiteside,Eagles,Stanford
2019,7,2,27,59,Parris Campbell,Colts,Ohio State
2019,8,2,30,62,Andy Isabella,Cardinals,Massachusetts
2019,9,2,32,64,D.K. Metcalf,Seahawks,Mississippi
2019,10,3,2,66,Diontae Johnson,Steelers,Toledo
2019,11,3,3,67,Jalen Hurd,49ers,Baylor
2019,12,3,12,76,Terry McLaurin,Redskins,Ohio State
2019,13,3,29,93,Miles Boykin,Ravens,Notre Dame
2019,14,4,1,103,Hakeem Butler,Cardinals,Iowa State
2019,15,4,18,120,Gary Jennings,Seahawks,West Virginia
2019,16,4,24,126,Riley Ridley,Bears,Georgia
2019,17,5,11,149,Hunter Renfrow,Raiders,Clemson
2019,18,5,26,164,EJ Speed,Colts,Tarleton State
2019,19,5,33,171,Darius Slayton,Giants,Auburn
2019,20,6,1,174,KeeSean Johnson,Cardinals,Fresno State
2019,21,6,11,184,Travis Fulgham,Lions,Old Dominion
2019,22,6,14,187,Juwann Winfree,Broncos,Colorado
2019,23,6,30,203,Marcus Green,Falcons,Louisiana-Monroe
2019,24,6,33,206,Kelvin Harmon,Redskins,North Carolina State
2019,25,6,35,208,Scotty Miller,Buccaneers,Bowling Green
2019,26,7,22,236,John Ursua,Seahawks,Hawaii
2019,27,7,23,237,Terry Godwin,Panthers,Georgia
2019,28,7,25,239,Dillon Mitchell,Vikings,Oregon
2019,29,7,33,247,Olabisi Johnson,Vikings,Colorado State
2018,1,1,24,24,D.J. Moore,Panthers,Maryland
2018,2,1,26,26,Calvin Ridley,Falcons,Alabama
2018,3,2,8,40,Courtland Sutton,Broncos,Southern Methodist
2018,4,2,12,44,Dante Pettis,49ers,Washington
2018,5,2,15,47,Christian Kirk,Cardinals,Texas A&M
2018,6,2,19,51,Anthony Miller,Bears,Memphis
2018,7,2,28,60,James Washington,Steelers,Oklahoma State
2018,8,2,29,61,DJ Chark,Jaguars,Louisiana State
2018,9,3,17,81,Michael Gallup,Cowboys,Colorado State
2018,10,3,27,91,Tre'Quan Smith,Saints,Central Florida
2018,11,4,3,103,Keke Coutee,Texans,Texas Tech
2018,12,4,5,105,Antonio Callaway,Browns,Florida
2018,13,4,13,113,DaeSean Hamilton,Broncos,Penn State
2018,14,4,32,132,Jaleel Scott,Ravens,New Mexico State
2018,15,4,33,133,J'Mon Moore,Packers,Missouri
2018,16,5,7,144,Justin Watson,Buccaneers,Pennsylvania
2018,17,5,22,159,Daurice Fountain,Colts,Northern Iowa
2018,18,5,25,162,Jordan Lasley,Ravens,UCLA
2018,19,5,37,174,Marquez Valdes-Scantling,Packers,South Florida
2018,20,6,1,175,Damion Ratley,Browns,Texas A&M
2018,21,6,11,185,Deon Cain,Colts,Clemson
2018,22,6,13,187,Ray-Ray McCloud,Bills,Clemson
2018,23,6,17,191,Dylan Cantrell,Chargers,Texas Tech
2018,24,6,20,194,Russell Gage,Falcons,Louisiana State
2018,25,6,33,207,Equanimeous St. Brown,Packers,Notre Dame
2018,26,6,34,208,Cedrick Wilson,Cowboys,Boise State
2018,27,6,36,210,Braxton Berrios,Patriots,Miami (FL)
2018,28,7,6,224,Javon Wims,Bears,Georgia
2018,29,7,10,228,Marcell Ateman,Raiders,Oklahoma State
2018,30,7,22,240,Richie James,49ers,Middle Tennessee
2018,31,7,35,253,Auden Tate,Bengals,Florida State
2018,32,7,37,255,Austin Proehl,Bills,North Carolina
2018,33,7,38,256,Trey Quinn,Redskins,Southern Methodist
2017,1,1,5,5,Corey Davis,Titans,Western Michigan
2017,2,1,7,7,Mike Williams,Chargers,Clemson
2017,3,1,9,9,John Ross,Bengals,Washington
2017,4,2,5,37,Zay Jones,Bills,East Carolina
2017,5,2,8,40,Curtis Samuel,Panthers,Ohio State
2017,6,2,30,62,JuJu Smith-Schuster,Steelers,USC
2017,7,3,5,69,Cooper Kupp,Rams,Eastern Washington
2017,8,3,8,72,Taywan Taylor,Titans,Western Kentucky
2017,9,3,15,79,ArDarius Stewart,Jets,Alabama
2017,10,3,18,82,Carlos Henderson,Broncos,Louisiana Tech
2017,11,3,20,84,Chris Godwin,Buccaneers,Penn State
2017,12,3,32,96,Kenny Golladay,Lions,Northern Illinois
2017,13,3,34,98,Chad Williams,Cardinals,Grambling State
2017,14,3,42,106,Amara Darboh,Seahawks,Michigan
2017,15,4,3,110,Dede Westbrook,Jaguars,Oklahoma
2017,16,4,10,117,Josh Reynolds,Rams,Texas A&M
2017,17,4,12,118,Mack Hollins,Eagles,North Carolina
2017,18,4,22,128,Josh Malone,Bengals,Tennessee
2017,19,4,27,133,Ryan Switzer,Cowboys,North Carolina
2017,20,4,33,139,Jehu Chesson,Chiefs,Michigan
2017,21,4,35,141,Chad Hansen,Jets,California
2017,22,5,22,166,Shelton Gibson,Eagles,West Virginia
2017,23,5,27,170,Rodney Adams,Vikings,South Florida
2017,24,5,29,172,Isaiah McKenzie,Broncos,Georgia
2017,25,5,32,175,DeAngelo Yancey,Packers,Purdue
2017,26,5,34,177,Trent Taylor,49ers,Louisiana Tech
2017,27,6,25,209,Robert Davis,Redskins,Georgia State
2017,28,7,1,219,Stacy Coley,Vikings,Miami (FL)
2017,29,7,8,226,David Moore,Seahawks,East Central (OK)
2017,30,7,19,237,Isaiah Ford,Dolphins,Virginia Tech
2017,31,7,21,239,Noah Brown,Cowboys,Ohio State
2017,32,7,29,247,Malachi Dupre,Packers,Louisiana State
2016,1,1,15,15,Corey Coleman,Browns,Baylor
2016,2,1,21,21,Will Fuller,Texans,Notre Dame
2016,3,1,22,22,Josh Doctson,Redskins,Texas Christian
2016,4,1,23,23,Laquon Treadwell,Vikings,Mississippi
2016,5,2,9,40,Sterling Shepard,Giants,Oklahoma
2016,6,2,16,47,Michael Thomas,Saints,Ohio State
2016,7,2,24,55,Tyler Boyd,Bengals,Pittsburgh
2016,8,3,22,85,Braxton Miller,Texans,Ohio State
2016,9,3,23,86,Leonte Carroo,Dolphins,Rutgers
2016,10,4,9,107,Chris Moore,Ravens,Cincinnati
2016,11,4,14,112,Malcolm Mitchell,Patriots,Georgia
2016,12,4,16,114,Ricardo Louis,Browns,Auburn
2016,13,4,19,117,Pharoh Cooper,Rams,South Carolina
2016,14,4,28,126,Demarcus Robinson,Chiefs,Florida
2016,15,5,1,140,Tajae Sharpe,Titans,Massachusetts
2016,16,5,15,154,Jordan Payton,Browns,UCLA
2016,17,5,26,163,Trevor Davis,Packers,California
2016,18,5,28,165,Tyreek Hill,Chiefs,West Alabama
2016,19,5,35,172,Rashard Higgins,Browns,Colorado State
2016,20,6,5,180,Moritz Boehringer,Vikings,None
2016,21,6,11,186,Jakeem Grant,Dolphins,Texas Tech
2016,22,6,17,192,Kolby Listenbee,Bills,Texas Christian
2016,23,6,24,199,Cody Core,Bengals,Mississippi
2016,24,6,31,206,Mike Thomas,Rams,Southern Mississippi
2016,25,6,38,213,Aaron Burbridge,49ers,Michigan State
2016,26,7,4,225,Devin Lucien,Patriots,Arizona State
2016,27,7,8,229,DeMarcus Ayers,Steelers,Houston
2016,28,7,9,230,Daniel Braverman,Bears,Western Michigan
2016,29,7,17,238,Devin Fuller,Falcons,UCLA
2016,30,7,20,241,Charone Peake,Jets,Clemson
2016,31,7,22,243,Kenny Lawler,Seahawks,California
2015,1,1,4,4,Amari Cooper,Raiders,Alabama
2015,2,1,7,7,Kevin White,Bears,West Virginia
2015,3,1,14,14,DeVante Parker,Dolphins,Louisville
2015,4,1,20,20,Nelson Agholor,Eagles,USC
2015,5,1,26,26,Breshad Perriman,Ravens,Central Florida
2015,6,1,29,29,Phillip Dorsett,Colts,Miami (FL)
2015,7,2,5,37,Devin Smith,Jets,Ohio State
2015,8,2,8,40,Dorial Green-Beckham,Titans,Missouri
2015,9,2,9,41,Devin Funchess,Panthers,Michigan
2015,10,3,5,69,Tyler Lockett,Seahawks,Kansas State
2015,11,3,6,70,Jaelen Strong,Texans,Arizona State
2015,12,3,12,76,Chris Conley,Chiefs,Georgia
2015,13,3,23,87,Sammie Coates,Steelers,Auburn
2015,14,3,30,94,Ty Montgomery,Packers,Stanford
2015,15,4,6,105,Jamison Crowder,Redskins,Duke
2015,16,4,8,107,Justin Hardy,Falcons,East Carolina
2015,17,4,24,123,Vince Mayle,Browns,Washington State
2015,18,4,33,132,DeAndre Smelter,49ers,Georgia Tech
2015,19,5,3,139,Rashad Greene,Jaguars,Florida State
2015,20,5,10,146,Stefon Diggs,Vikings,Maryland
2015,21,5,20,156,Tony Lippett,Dolphins,Michigan State
2015,22,5,23,159,J.J. Nelson,Cardinals,Alabama-Birmingham
2015,23,5,26,162,Kenny Bell,Buccaneers,Nebraska
2015,24,5,39,175,Keith Mumphery,Texans,Michigan State
2015,25,6,8,184,Kaelin Clay,Buccaneers,Utah
2015,26,6,10,186,Geremy Davis,Giants,Connecticut
2015,27,6,11,187,Evan Spencer,Redskins,Ohio State
2015,28,6,25,201,Bud Sasser,Rams,Missouri
2015,29,6,28,204,Darren Waller,Ravens,Georgia Tech
2015,30,7,3,220,Neal Sterling,Jaguars,Monmouth
2015,31,7,4,221,Andre Debose,Raiders,Florida
2015,32,7,16,233,Da'Ron Brown,Chiefs,Northern Illinois
2015,33,7,17,234,Dezmin Lewis,Bills,Central Arkansas
2015,34,7,21,238,Mario Alford,Bengals,West Virginia
2015,35,7,28,245,Tre McBride,Titans,William & Mary
2014,1,1,4,4,Sammy Watkins,Bills,Clemson
2014,2,1,7,7,Mike Evans,Buccaneers,Texas A&M
2014,3,1,12,12,Odell Beckham,Giants,Louisiana State
2014,4,1,20,20,Brandin Cooks,Saints,Oregon State
2014,5,1,28,28,Kelvin Benjamin,Panthers,Florida State
2014,6,2,7,39,Marqise Lee,Jaguars,USC
2014,7,2,10,42,Jordan Matthews,Eagles,Vanderbilt
2014,8,2,13,45,Paul Richardson,Seahawks,Colorado
2014,9,2,21,53,Davante Adams,Packers,Fresno State
2014,10,2,24,56,Cody Latimer,Broncos,Indiana
2014,11,2,29,61,Allen Robinson,Jaguars,Penn State
2014,12,2,31,63,Jarvis Landry,Dolphins,Louisiana State
2014,13,3,22,86,Josh Huff,Eagles,Oregon
2014,14,3,26,90,Donte Moncrief,Colts,Mississippi
2014,15,3,27,91,John Brown,Cardinals,Pittsburg State (KS)
2014,16,4,4,104,Jalen Saunders,Jets,Oklahoma
2014,17,4,6,106,Bruce Ellington,49ers,South Carolina
2014,18,4,15,115,Shaq Evans,Jets,UCLA
2014,19,4,18,118,Martavis Bryant,Steelers,Clemson
2014,20,4,23,123,Kevin Norwood,Seahawks,Alabama
2014,21,5,2,142,Ryan Grant,Redskins,Tulane
2014,22,5,6,146,Devin Street,Cowboys,Pittsburgh
2014,23,5,36,176,Jared Abbrederis,Packers,Wisconsin
2014,24,6,9,185,Robert Herron,Buccaneers,Wyoming
2014,25,6,13,189,T.J. Jones,Lions,Notre Dame
2014,26,6,14,190,Matt Hazel,Dolphins,Coastal Carolina
2014,27,6,20,196,Walt Powell,Cardinals,Murray State
2014,28,6,33,209,Quincy Enunwa,Jets,Nebraska
2014,29,7,3,218,Mike Campanaro,Ravens,Wake Forest
2014,30,7,21,236,Jeff Janis,Packers,Saginaw Valley State
2014,31,7,24,239,James Wright,Bengals,Louisiana State
2014,32,7,25,240,Tevin Reese,Chargers,Baylor
2014,33,7,29,244,Jeremy Gallon,Patriots,Michigan
