Name,Pos,School,Height,Weight,Hands,Arms,Wingspan,40 Yd,10 Split,Vertical,Broad,Bench,3-Cone,Shuttle
Aaron Anderson,WR,LSU,"5'8""",191,9.25,29.75,,,,30,"9'5""",,,
Antonio Williams,WR,Clemson,"5'11 1/2""",187,9.25,30.75,76,4.41,1.55,39.5,"10'4""",10,7,
Barion Brown,WR,LSU,"5'11""",177,9,31.5,,4.4,1.62,,,,,
Brenen Thompson,WR,Mississippi St,"5'9""",164,9,29.375,,4.26,1.54,,,,,
Bryce Lance,WR,North Dakota St,"6'3""",204,9.25,32.125,,4.34,1.51,41.5,"11'1""",,7,4.15
Caleb Douglas,WR,Texas Tech,"6'3 1/2""",206,10.125,32.5,,4.39,1.53,31.5,"10'6""",,,
Carnell Tate,WR,Ohio State,"6'2 1/4""",192,10.25,31.75,78,4.53,1.61,,,,,
Caullin Lacy,WR,Louisville,"5'9""",183,9.875,29.375,,4.55,1.59,33.5,"9'8""",,,
Chase Roberts,WR,BYU,"6'3""",209,9.75,31.5,,4.64,1.57,37,"10'6""",,,
Chris Bell,WR,Louisville,"6'1 7/8""",222,10,31.75,76.75,,,,,,,
Chris Brazzell II,WR,Tennessee,"6'4""",198,9,32.375,80.125,4.37,1.52,,,,,
Chris Hilton Jr.,WR,LSU,"6'0""",188,9.25,32,,4.41,1.52,34.5,"10'2""",,7.25,4.41
CJ Daniels,WR,Miami (FL),"6'2""",202,9.25,31.75,,,,,,,,
Colbie Young,WR,Georgia,"6'5""",218,9.5,31.875,,4.49,1.55,,,,,
De'Zhaun Stribling,WR,Mississippi,"6'2""",207,10,31.625,,4.36,1.52,36,"10'7""",,,
Deion Burks,WR,Oklahoma,"5'9 3/4""",180,9.5,29.375,72.75,4.3,1.49,42.5,"10'11""",26,,
Denzel Boston,WR,Washington,"6'3 5/8""",212,9.75,32,77.375,,,35,,,,4.28
Dillon Bell,WR,Georgia,"6'0 3/4""",209,9.5,30.25,,4.5,1.55,39,"10'6""",,,
Donaven McCulley,WR,Michigan,"6'4 1/2""",203,10.25,32.625,,,,,,,,
Elijah Sarratt,WR,Indiana,"6'2 1/2""",210,10,31.25,75.75,,,,,,,
Emmanuel Henderson Jr.,WR,Kansas,"6'0 7/8""",185,8.375,31,,4.44,1.53,35,"10'0""",,,
Eric McAlister,WR,TCU,"6'4""",194,9.75,32.625,,,,,,,,
Eric Rivers,WR,Georgia Tech,"5'10""",176,9,30.5,,4.35,1.49,37,"10'7""",,,
Germie Bernard,WR,Alabama,"6'1 1/4""",206,9.875,30.375,74.875,4.48,1.52,32.5,"10'5""",,6.71,4.31
Harrison Wallace III,WR,Mississippi,"6'0""",192,8.375,32.125,,4.54,1.58,,,,,
J. Michael Sturdivant,WR,Florida,"6'3""",207,9.5,32.875,,4.4,1.54,39,"10'11""",,,
Ja'Kobi Lane,WR,USC,"6'4""",200,10.5,32.625,,4.47,1.58,40,"10'9""",,,
Jalen Walthall,WR,Incarnate Word,"6'1""",191,9,31.25,,4.57,1.55,35,"10'11""",,,
Jeff Caldwell,WR,Cincinnati,"6'5""",216,9.75,32.625,,4.31,1.48,42,"11'2""",,,
Jordan Hudson,WR,SMU,"6'1""",191,9.25,31.125,,,,,,,,
Jordyn Tyson,WR,Arizona State,"6'2 1/8""",203,9.125,30.25,75.25,,,,,26,,
Josh Cameron,WR,Baylor,"6'1 1/2""",220,10.25,33.125,,,,,,,,
Kaden Wetjen,WR,Iowa,"5'9""",193,8.5,29.625,,4.47,1.51,35.5,,,6.95,4.44
KC Concepcion,WR,Texas A&M,"5'11 5/8""",196,9.25,30.25,74.875,,,,,,,
Kendrick Law,WR,Kentucky,"5'11""",203,9.625,31.125,,4.45,1.53,42,"10'8""",21,,
Kevin Coleman Jr.,WR,Missouri,"5'10 1/4""",179,9.5,30,,4.49,1.62,38.5,"10'6""",,,
Makai Lemon,WR,USC,"5'11""",192,8.75,30.5,73.25,,,,,,,
Malachi Fields,WR,Notre Dame,"6'4 1/2""",218,9,32.125,79,4.61,1.63,38,"10'4""",,6.98,4.35
Malik Benson,WR,Oregon,"6'0 1/8""",189,8.625,31.875,,4.37,1.53,32.5,"10'2""",,,
Omar Cooper Jr.,WR,Indiana,"6'0 1/8""",199,9.625,30.25,75.25,4.42,1.55,37,,,,
Reggie Virgil,WR,Texas Tech,"6'3""",187,9.25,31.25,,4.57,1.51,36,"10'7""",,,
Skyler Bell,WR,UConn,"5'11 5/8""",192,10,31.125,,4.4,1.53,41,"11'1""",,,
Ted Hurst,WR,Georgia State,"6'3""",206,9.75,32.625,,4.42,1.55,36.5,"11'3""",,,
Vinny Anthony II,WR,Wisconsin,"5'11 7/8""",183,9.125,31.375,,4.54,1.59,34.5,,15,6.86,4.07
Zachariah Branch,WR,Georgia,"5'8 5/8""",177,9,29.375,72.375,4.35,1.5,38,"10'5""",20,,
Zavion Thomas,WR,LSU,"5'10""",190,9,30.5,,4.28,1.51,36,,,,
